Admin_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Observer,Visit,ID_Method,Distance_Metre,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt,Habitat,Sheet,Previously_Obs,Start_DateTime,End_DateTime,Interval_Min,Time_of_Day,Observation_Duration_Min,Season,Month
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Singing,25.0,False,Undetermined,Eastern Towhee,Pipilo Erythrophthalmus,179276.0,83803.0,Eato,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,True,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Calling,25.0,False,Undetermined,White-Breasted Nuthatch,Sitta Carolinensis,178775.0,90935.0,Wbnu,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,True,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Calling,75.0,False,Undetermined,Red-Bellied Woodpecker,Melanerpes Carolinus,178195.0,84865.0,Rbwo,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,False,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,3.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Singing,25.0,False,Undetermined,Orchard Oriole,Icterus Spurius,179064.0,93634.0,Oror,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,False,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,3.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Visualization,25.0,False,Undetermined,Northern Mockingbird,Mimus Polyglottos,178620.0,88394.0,Nomo,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,False,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,3.75,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Singing,25.0,False,Undetermined,Northern Cardinal,Cardinalis Cardinalis,179124.0,94228.0,Noca,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,False,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,6.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Singing,75.0,False,Undetermined,Northern Cardinal,Cardinalis Cardinalis,179124.0,94228.0,Noca,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,True,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Singing,25.0,False,Undetermined,Horned Lark,Eremophila Alpestris,554256.0,264079.0,Hola,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,True,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Singing,25.0,False,Undetermined,Mourning Dove,Zenaida Macroura,177125.0,82737.0,Modo,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,True,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,1.25,Early Morning,10.0,Summer,May
Anti,Anti 1,Anti-0036,Forest,2018,2018-05-22,Elizabeth Oswald,1,Singing,25.0,False,Undetermined,Field Sparrow,Spizella Pusilla,179443.0,84790.0,Fisp,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,0.5,No Effect On Count,False,Forest,Anti,False,2018-05-22 06:19:00,2018-05-22 06:29:00,6.25,Early Morning,10.0,Summer,May
